Gmt time,Open,High,Low,Close,Volume
28.10.2021 04:00:00.000,1.16056,1.16056,1.16051,1.16051,15.15
28.10.2021 04:01:00.000,1.1605,1.1605,1.1605,1.1605,0.82
28.10.2021 04:02:00.000,1.1605,1.16055,1.16048,1.16051,15.04
28.10.2021 04:03:00.000,1.1605,1.1605,1.1605,1.1605,0.82
28.10.2021 04:04:00.000,1.16051,1.16056,1.16051,1.16052,9.86
28.10.2021 04:05:00.000,1.16051,1.16055,1.1605,1.1605,15.38
28.10.2021 04:06:00.000,1.16051,1.16056,1.16051,1.16056,10.88
28.10.2021 04:07:00.000,1.16055,1.1606,1.16055,1.16058,5.7
28.10.2021 04:08:00.000,1.16057,1.1606,1.16055,1.16055,27.38
28.10.2021 04:09:00.000,1.16055,1.16055,1.16052,1.16052,11.39
28.10.2021 04:10:00.000,1.16053,1.1606,1.16053,1.1606,13.76
28.10.2021 04:11:00.000,1.16061,1.16062,1.16059,1.16059,12.81
28.10.2021 04:12:00.000,1.16059,1.16059,1.16055,1.16055,9.14
28.10.2021 04:13:00.000,1.16054,1.16059,1.16054,1.16059,9.34
28.10.2021 04:14:00.000,1.16059,1.16059,1.1605,1.16053,19.46
28.10.2021 04:15:00.000,1.16051,1.16051,1.16048,1.16048,19.27
28.10.2021 04:16:00.000,1.16049,1.1605,1.16046,1.16049,16.54
28.10.2021 04:17:00.000,1.16049,1.1605,1.16048,1.16049,8.32
28.10.2021 04:18:00.000,1.16048,1.1605,1.16044,1.16044,12.82
28.10.2021 04:19:00.000,1.16045,1.16045,1.16044,1.16044,1.5
28.10.2021 04:20:00.000,1.16043,1.1605,1.16043,1.16049,20.23
28.10.2021 04:21:00.000,1.16049,1.16051,1.16046,1.16046,16.94
28.10.2021 04:22:00.000,1.16047,1.16049,1.16045,1.16046,10.96
28.10.2021 04:23:00.000,1.16045,1.16049,1.1604,1.16049,16.1
28.10.2021 04:24:00.000,1.1605,1.16059,1.1605,1.16055,15.97
28.10.2021 04:25:00.000,1.16053,1.16061,1.16053,1.1606,16.69
28.10.2021 04:26:00.000,1.1606,1.16064,1.16059,1.16064,17.64
28.10.2021 04:27:00.000,1.16065,1.16066,1.1606,1.1606,14.43
28.10.2021 04:28:00.000,1.16059,1.16061,1.16058,1.16059,8.68
28.10.2021 04:29:00.000,1.16059,1.1606,1.16057,1.16057,7.4
28.10.2021 04:30:00.000,1.16056,1.16062,1.16056,1.16058,21.8
28.10.2021 04:31:00.000,1.16059,1.16062,1.1605,1.16053,59.57
28.10.2021 04:32:00.000,1.16053,1.16054,1.1605,1.1605,32.38
28.10.2021 04:33:00.000,1.16048,1.16049,1.16044,1.16044,35.96
28.10.2021 04:34:00.000,1.16046,1.16046,1.16042,1.16045,14.38
28.10.2021 04:35:00.000,1.16046,1.16046,1.16041,1.16041,24.48
28.10.2021 04:36:00.000,1.1604,1.1604,1.16038,1.16038,11.24
28.10.2021 04:37:00.000,1.16039,1.16039,1.16039,1.16039,0.19
28.10.2021 04:38:00.000,1.16038,1.16039,1.16035,1.16035,34.22
28.10.2021 04:39:00.000,1.16037,1.16042,1.16037,1.1604,53.24
28.10.2021 04:40:00.000,1.1604,1.16051,1.1604,1.16046,52.44
28.10.2021 04:41:00.000,1.16048,1.16053,1.16048,1.16052,15.68
28.10.2021 04:42:00.000,1.16051,1.16055,1.1605,1.16051,26.87
28.10.2021 04:43:00.000,1.1605,1.16056,1.1605,1.16056,28.02
28.10.2021 04:44:00.000,1.16056,1.16063,1.16056,1.1606,24.48
28.10.2021 04:45:00.000,1.16062,1.16065,1.1606,1.1606,62.79
28.10.2021 04:46:00.000,1.1606,1.16062,1.1606,1.16061,15.85
28.10.2021 04:47:00.000,1.16061,1.16062,1.1606,1.1606,11.82
28.10.2021 04:48:00.000,1.1606,1.16065,1.16059,1.16065,37.41
28.10.2021 04:49:00.000,1.16062,1.16065,1.1606,1.16065,12.86
28.10.2021 04:50:00.000,1.16065,1.16066,1.16061,1.16061,27.94
28.10.2021 04:51:00.000,1.16061,1.16061,1.1606,1.1606,5.09
28.10.2021 04:52:00.000,1.16059,1.16059,1.16054,1.16054,41.56
28.10.2021 04:53:00.000,1.16056,1.16061,1.16055,1.16055,33.5
28.10.2021 04:54:00.000,1.16056,1.16061,1.16055,1.16059,43.95
28.10.2021 04:55:00.000,1.1606,1.16071,1.1606,1.16065,68.29
28.10.2021 04:56:00.000,1.16068,1.16069,1.16066,1.16068,47.86
28.10.2021 04:57:00.000,1.16067,1.1607,1.16065,1.16066,57.81
28.10.2021 04:58:00.000,1.16066,1.16072,1.16066,1.1607,61.07
28.10.2021 04:59:00.000,1.16069,1.1607,1.16066,1.16066,22.42
28.10.2021 05:00:00.000,1.16065,1.16069,1.16064,1.16069,9.53
28.10.2021 05:01:00.000,1.1607,1.16075,1.16069,1.16074,20.59
28.10.2021 05:02:00.000,1.16074,1.16077,1.16073,1.16073,44.67
28.10.2021 05:03:00.000,1.16074,1.16076,1.16064,1.16065,28.33
28.10.2021 05:04:00.000,1.16066,1.16069,1.16064,1.16065,36.76
28.10.2021 05:05:00.000,1.16064,1.16064,1.16059,1.1606,22.34
28.10.2021 05:06:00.000,1.16059,1.16062,1.16059,1.16061,38.69
28.10.2021 05:07:00.000,1.1606,1.1606,1.16054,1.16055,15.92
28.10.2021 05:08:00.000,1.16057,1.16059,1.16054,1.16054,22.76
28.10.2021 05:09:00.000,1.16053,1.16053,1.16048,1.1605,27.19
28.10.2021 05:10:00.000,1.16051,1.16057,1.16051,1.16057,22.46
